artifact,sha256,size
KABUKI_INV_2025-06-12_ALL-IN.zip,8dafe2565a96dbf7243682566d8e0d9a7c989d7ab3258a409a1b50899b5a357f,7464948
KABUKI_INV_2025-06-12_PACKAGE.zip,3661a330bebfeea2b90f4fac6d59e3021a96076d7a44e63c63e934eb5873e61a,3930047
