path,size,sha256
KABUKI_INV_2025-06-12_OUT/2025-06-12-Analysis-Detalis-Python_EXTRACT/bug_type_298_2025-06-12.rtf,1971,fd4997d93ce9602d2549de8aca09e970ccf16c3d78814a879f698754a809fe3d
KABUKI_INV_2025-06-12_OUT/2025-06-12-Analysis-Detalis-Python_EXTRACT/bug_type_298_2025-06-12-2.docx,12564,0ac480e3cb0d18e33a6ba58de37bdca60544e6b919298315cc7b88180a28cefe
KABUKI_INV_2025-06-12_OUT/2025-06-12-Analysis-Detalis-Python_EXTRACT/C-bug_type_298_2025-06-12-1.docx,12564,0e7f223e584cf1a5d245e26b5d7a7c783cea515263da78ac119bc90f2bcd2151
KABUKI_INV_2025-06-12_OUT/2025-06-12-Analysis-Detalis-Python_EXTRACT/RTCR_2025-06-12.docx,12319,e597d7129d2ad1f8cd7d4080e1b365cd6aace9f39fa14b058868122df884de8e
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/EVENTS.csv,11,4caff5a92c68b76bbd8ad4d90415922da4862f6ae8275961b3229430c97eea87
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/EVENTS.json,4,ace810d7e2cbb4f8c40ce09dc8e191ae466adb4e1a7d49c59f2215b411d38b05
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/PIVOT.csv,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/PIVOT.json,4,ace810d7e2cbb4f8c40ce09dc8e191ae466adb4e1a7d49c59f2215b411d38b05
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/GAPS.csv,145,2c5913c07c5082973095c883e008ec3440c1472af3beae2eec5fcbf54af522b2
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/GAPS.json,481,15561905818a857056e01dd36abfe29b68c130a76d1959d8271cd23f4f9ab75d
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/IDMAP.csv,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/IDMAP.json,4,ace810d7e2cbb4f8c40ce09dc8e191ae466adb4e1a7d49c59f2215b411d38b05
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/tamper_join_sec.csv,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/tamper_join_sec.json,4,ace810d7e2cbb4f8c40ce09dc8e191ae466adb4e1a7d49c59f2215b411d38b05
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/DIFF_events.csv,45,a49e492ead16c22bdf33f8a7fab8d579b204e460163859af61d3f90920569eeb
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/DIFF_events.json,4,ace810d7e2cbb4f8c40ce09dc8e191ae466adb4e1a7d49c59f2215b411d38b05
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/DIFF_keywords.csv,256,2bf48e78f26ae31fe16797879d410618f1ee818b047600dc6ad7b141de8f39cf
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/DIFF_keywords.json,1017,f2756db24295668043c08e5453e993503a6fabb9e81a0c5470bb9af8ac85bb6b
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/sha256_chain_generated.csv,392,22ac84362d25776611bf138a8424f52c08ea7afb17081ebdd6a3d994e49bc36b
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/sha256_chain_generated.json,601,dea5028cf8925a57ddb4e2fa0c9272c60a7a52117d1f0f017d3a8bb958383ce0
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/SUMMARY.txt,679,f6861191687078bffa005fc455265be693be5eeb018ff942dd0c01e84e28291b
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/SUMMARY.pdf,2259,76e0cde41f14f7d2fb497a3c4a3b16093607cc7378513d37da7286873cee00b6
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/TIMELINE_all_events_per_min.png,113995,1bae026b0af0df15b08b83b5ac7135c9dfeb55f01e6d19e85c61ce5b8fe0c4cd
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/TIMELINE_bt298.png,63185,665f2687a7a786fe91db494e65a75f4585dac9bcf4cf26a69b06fcfee77d07ee
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/TIMELINE_bt225.png,62536,68c62142614bf2be1d798fc20b289f8a1a571a399399ffc92d57556c3d1426a4
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/TIMELINE_bt202.png,63118,ce3a724963b4f8cccec92b843ee1d7fab2fd4d0ecc638387ccd7edba024604cb
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/USAGE_NETWORK_nodes.csv,136,331f30a02995206b6331c9df2d39b0f4c867994e6d8ecdb2f0f7e4d97d278de6
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/USAGE_NETWORK_edges.csv,115,1a459ebf5c4be1858f751e9ad98cd3463ea24b32fe583a36c358466c558f1af9
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/USAGE_NETWORK.png,83138,822bfa5338eb5f795b20283b532e3cc654205fa0a8e698f455551cb57db6730f
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/FLAME_PIVOT.csv,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/FLAME_TOP_KEYWORDS.csv,18,1d3d07cf5db7821155edf96eecb2d42ba342b0444c5f0b8641dfc83d635c30fc
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/FLAME_timeline_hourly.png,60334,73e12fdd8f75fad9dc24902647b0e058a16ed8cd28cec49543bd6ae6c7733f1f
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/TIMELINE_annotated.png,122194,2297b97f7f7dc29ffc58733c77e02bb0deaa7d6f7e978138097dd4a51f76d8da
KABUKI_INV_2025-06-12_OUT_ZIP_INTEGRATION/TIMELINE_annotated.pdf,15036,268767cf1f45cebcdf7ac1ce7b5deca0f28f98d505e0db420871c62969939f6e
KABUKI_INV_2025-06-12_OUT_EXTRA/RED_FLAG_snapshots_pm60.csv,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
KABUKI_INV_2025-06-12_OUT_EXTRA/RED_FLAG_snapshots_pm60.pdf,1473,780566bce15e02dbcf0f8fe538b6a5bfdc322f975c7d4aa67700ae608aa28e99
KABUKI_INV_2025-06-12_OUT_EXTRA/HEATMAP_minute_x_device.png,46078,897c0e0fb269a5f71cd450d203702122445c58186c853b714fc3a761b5555e28
KABUKI_INV_2025-06-12_OUT_EXTRA/CO_OCCURRENCE_matrix.csv,225,4a8b5375c7abbd2be7c599284a9c082b174cbf24472c1a4b26a0887ed8fea3cd
KABUKI_INV_2025-06-12_OUT_EXTRA/CO_OCCURRENCE_heatmap.png,127366,2f096b5e943aca0f53858ec5b025979a4a191593d5373e17d75b0c966a70bc2e
KABUKI_INV_2025-06-12_OUT_EXTRA/DOMAINS_top.csv,505,a384e7e49b5ccba4e18a2999f83dfae19fef9b28e71d40ea6769203a39dc8e5c
KABUKI_INV_2025-06-12_OUT_EXTRA/MYVIETTEL_user_hits.csv,31,eef5e5ce8ce3d92d20e735202c464b1e66d52791ccac91675f9fbe6324dd4a7d
KABUKI_INV_2025-06-12_OUT_EXTRA/MYVIETTEL_friend_hits.csv,31,eef5e5ce8ce3d92d20e735202c464b1e66d52791ccac91675f9fbe6324dd4a7d
KABUKI_INV_2025-06-12_OUT_EXTRA/MYVIETTEL_only_user.csv,31,eef5e5ce8ce3d92d20e735202c464b1e66d52791ccac91675f9fbe6324dd4a7d
KABUKI_INV_2025-06-12_OUT_EXTRA/MYVIETTEL_only_friend.csv,31,eef5e5ce8ce3d92d20e735202c464b1e66d52791ccac91675f9fbe6324dd4a7d
KABUKI_INV_2025-06-12_OUT_EXTRA/H_EXTRACT/{.84368154682.-[]}.pdf,9254,ca628d257d7cbefa752775cde60b2a4713a16d7916ce409b0f3b803bc636eedf
KABUKI_INV_2025-06-12_OUT_EXTRA/H_EXTRACT/{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf,123001,1c12d2b5281beec39dfa39a1649534acd62db44266b44d3ea18bf47ab3aada62
