file,size,sha256,acquired_at(UTC+7)
/mnt/data/part1.zip,10891245,a113cc44791507bae6239b11620e4823910aa65ca97f32b8146153e77de1e848,2025-09-14 11:17:10+0700
/mnt/data/part2.zip,17777630,4af628c7009741c8cae8b37cddddf8dfe3d9faf1ce97ef602cac9fd3a08fd1c8,2025-09-14 11:17:10+0700
/mnt/data/part3.zip,9702200,ffd61860a2a470f4719fa29ff697d406efce3acd87e2054e1d64347a381a28b8,2025-09-14 11:17:10+0700
